Model number,Number of packages,Length(mm),Width(mm),Height(mm),Sum of three sides(mm),Weight(kg),Charter,Assistant,Only Kinroji
AVA1101,,"2,130",250,110,"2,490",21.6,0,0,0
AVC-LBM4,,598,348,188,"1,134",14,0,0,0
AVSFSS,,"1,500",720,245,"2,465",35,0,0,0
AVSFSW,No.1,"1,500",720,245,"2,465",35,0,0,0
AVSFSW,No.2,"2,130",250,110,"2,490",21.6,0,0,0
AS3LD,,"1,210",560,70,"1,840",16.6,0,0,0
CMA110,,240,210,25,475,1.5,0,0,0
CMA110W,,240,220,25,485,1.5,0,0,0
CMA115W,,240,220,25,485,0.9,0,0,0
CMA270,,65,65,65,195,0.4,0,0,0
CMA330,,230,230,100,560,2.4,0,0,0
CMA340,,230,190,70,490,1.3,0,0,0
CMA348,,620,620,220,"1,460",14,0,0,0
CMA365,,170,150,75,395,1.3,0,0,0
CMA366,,760,110,60,930,2.6,0,0,0
CMA372,,200,110,80,390,1.1,0,0,0
CMA395,,220,130,120,470,2.1,0,0,0
CMA450,,720,630,40,"1,390",9.5,0,0,0
CMA640,,130,130,15,275,0.2,0,0,0
CMA643,,270,180,30,480,0.1,0,0,0
CMS003,,145,80,80,305,0.2,0,0,0
CMS003W,,145,80,80,305,0.2,0,0,0
CMS006,,230,80,80,390,0.3,0,0,0
CMS006W,,230,80,80,390,0.3,0,0,0
CMS012,,380,80,80,540,0.6,0,0,0
CMS012018,,440,70,70,580,1.2,0,0,0
CMS012018W,,440,70,70,580,1.5,0,0,0
CMS012W,,380,80,80,540,0.6,0,0,0
CMS018,,540,80,80,700,0.9,0,0,0
CMS018W,,540,80,80,700,0.9,0,0,0
CMS0203,,740,80,80,900,2.1,0,0,0
CMS0203W,,740,80,80,900,2.1,0,0,0
CMS018024,,530,85,85,700,1.3,0,0,0
CMS018024W,,530,85,85,700,1.3,0,0,0
CMS024,,700,60,60,820,1.2,0,0,0
CMS024W,,700,60,60,820,1.2,0,0,0
CMS0305,,"1,050",80,80,"1,210",3.1,0,0,0
CMS0305W,,"1,050",80,80,"1,210",3.1,0,0,0
CMS0507,,"1,700",80,80,"1,860",4.4,0,0,0
CMS0507W,,"1,700",80,80,"1,860",4.4,0,0,0
CMS0608,,"1,980",80,80,"2,140",5,0,0,0
CMS0608W,,"1,980",80,80,"2,140",5,0,0,0
CMS380,,220,130,120,470,2.1,0,0,0
CPA024,,690,50,50,790,1.2,0,0,0
CPA048,,"1,280",50,50,"1,380",2.5,0,0,0
CPA072,,"1,890",50,50,"1,990",3.6,0,0,0
CPA330,,270,260,140,670,2.8,0,0,0
CSMP9X12,,460,265,55,780,1.5,0,0,0
CSSMP15X10,,670,375,55,"1,100",5,0,0,0
FCA110,,220,160,40,420,0.3,0,0,0
FCA112,,185,185,145,515,1,0,0,0
FCA115,,460,170,170,800,1.6,0,0,0
FCA2X1U,,"1,870",400,280,"2,550",24,0,0,0
FCA3X1U,,"2,870",190,250,"3,310",35,1,0,1
FCA510,,320,320,170,810,3.5,0,0,0
FCA611,,670,530,120,"1,320",6,0,0,0
FCA613B,,"1,340",630,155,"2,125",16.5,0,0,0
FCA623B,,"1,130",200,210,"1,540",10,0,0,0
FCA624B,,"1,130",200,210,"1,540",10,0,0,0
FCA650,,720,620,165,"1,505",9,0,0,0
FCA800,,510,270,110,890,3.8,0,0,0
FCA801,,490,240,110,840,4.2,0,0,0
FCA802,,740,440,135,"1,315",7,0,0,0
FCA810HS,,650,240,100,990,3.8,0,0,0
FCA811,,655,240,100,995,5,0,0,0
FCA821,,460,310,180,950,3.6,0,0,0
FCA850,,265,510,170,945,3,0,0,0
FCAC,,510,260,120,890,1.6,0,0,0
FCASCA,,720,620,170,"1,510",9.5,0,0,0
FCAV1U,,600,215,105,920,8,0,0,0
FCAX08,,190,190,150,530,1.6,0,0,0
FCAX14,,240,240,110,590,2,0,0,0
FCAX20,,310,230,130,670,3,0,0,0
FCAXV1U,,760,270,180,"1,210",14,0,0,0
FCK008,,240,95,40,375,0.6,0,0,0
FCS1U,,920,570,100,"1,590",12.5,0,0,0
FHB5038,,410,170,160,740,3.5,0,0,0
FHB5078,,440,150,100,690,3,0,0,0
FRA,,510,510,165,"1,185",8,0,0,0
FSR1U,,230,230,60,520,2,0,0,0
